https://www.bike-discount.de/en/cube-kathmandu-hybrid-pro-750-flashgrey-n-metal	Cube Kathmandu Hybrid Pro 750 flashgrey´n´metal	€2,959.20	aluminium	"28"""	flashgrey´n´metal	starting from 26,9 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-160-hpc-tm-750-27.5-flashgrey-n-olive-1	Cube Stereo Hybrid 160 HPC TM 750 27.5 flashgrey´n´olive	€4,699.00	Carbon mainframe, alloy rear triangle	"27.5""x2.4"	flashgrey´n´olive	starting from 24,4 kg
https://www.bike-discount.de/en/focus-jam2-8.8	Focus JAM² 8.8	€4,599.00	Carbon	"29"""	Carbon raw / Warmgrey	unknown
https://www.bike-discount.de/en/radon-swoop-10.0-3	Radon Swoop 10.0	€3,299.00	Carbon mainframe, alloy rear triangle	"29"""	nightshift / white	starting from 15,30 kg
https://www.bike-discount.de/en/radon-relate-8.0-lady-625-1	Radon Relate 8.0 Lady 625	€2,699.00	unknown	"28"""	black / warmsilver	starting from 25 kg
https://www.bike-discount.de/en/focus-jam2-7.8-1	Focus JAM² 7.8	€3,399.00	aluminium	"29"""	Slate Grey	25,00 kg
https://www.bike-discount.de/en/mondraker-thundra	Mondraker THUNDRA	€2,199.00	Alumimium	"29"""	Cherry Red - Desert Grey	22 kg
https://www.bike-discount.de/en/focus-sam2-6.9	Focus SAM² 6.9	from €4,299.00	aluminium	"29"""	Milk Brown	25,95 kg
https://www.bike-discount.de/en/radon-jealous-10.0-ea-2	Radon Jealous 10.0 EA	€4,499.00	Carbon	"29"""	nanogrey / deepblack	ab 8,55 kg
https://www.bike-discount.de/en/cube-nuroad-pro-fe-metalblack-n-grey	Cube Nuroad Pro FE metalblack´n´grey	€1,119.20	aluminium	"28"""	metalblack´n´grey	starting from 11.8 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-120-slt-750-prizmblack-n-black	Cube Stereo Hybrid 120 SLT 750 prizmblack´n´black	€4,239.20	aluminium	"Size Split: 27.5: S (16"") // 29: M (18""), L (20""), XL (22"")"	prizmblack´n´black	starting from 25,3 kg
https://www.bike-discount.de/en/cube-ams-one11-c-68x-tm-29-flashgrey-n-olive-1	Cube AMS ONE11 C:68X TM 29 flashgrey´n´olive	€3,599.00	Carbon	"29"""	flashgrey´n´olive	starting from 11,7 kg
